Adam Henrique,Anaheim Ducks,Center,26
Brendan Gallagher,Montreal Canadiens,Right Wing,22
Anders Lee,New York Islanders,Left Wing,20
Jake Guentzel,Pittsburgh Penguins,Left Wing,20
Alex Iafallo,Los Angeles Kings,Left Wing,17
Connor Brown,Ottawa Senators,Right Wing,16
Josh Bailey,New York Islanders,Right Wing,14
David Krejci,Boston Bruins,Center,13
Jean-Gabriel Pageau,New York Islanders,Center,26
Victor Olofsson,Buffalo Sabres,Left Wing,20
Gustav Nyquist,Columbus Blue Jackets,Center,15
Rickard Rakell,Anaheim Ducks,Left Wing,15
Matt Duchene,Nashville Predators,Center,13
Ryan Getzlaf,Anaheim Ducks,Center,13
Robert Thomas,St. Louis Blues,Center,10
Adam Fox,New York Rangers,Defensemen,8
Kevin Hayes,Philadelphia Flyers,Center,23
Jason Zucker,Pittsburgh Penguins,Left Wing,20
Zach Werenski,Columbus Blue Jackets,Defensemen,20
Mikko Rantanen,Colorado Avalanche,Right Wing,19
Ondrej Palat,Tampa Bay Lightning,Left Wing,17
Nick Suzuki,Montreal Canadiens,Center,13
Aaron Ekblad,Florida Panthers,Defensemen,5
Anthony Duclair,Ottawa Senators,Left Wing,23
James van Riemsdyk,Philadelphia Flyers,Left Wing,19
Jordan Eberle,New York Islanders,Right Wing,16
Dougie Hamilton,Carolina Hurricanes,Defensemen,14
Jeff Petry,Montreal Canadiens,Defensemen,11
Erik Karlsson,San Jose Sharks,Defensemen,6
Rasmus Dahlin,Buffalo Sabres,Defensemen,4
Conor Garland,Arizona Coyotes,Right Wing,22
Jakob Silfverberg,Anaheim Ducks,Right Wing,21
Jamie Benn,Dallas Stars,Left Wing,19
Anthony Beauvillier,New York Islanders,Left Wing,18
Logan Couture,San Jose Sharks,Center,16
Lars Eller,Washington Capitals,Center,16
Thomas Chabot,Ottawa Senators,Defensemen,6
Tyson Barrie,Toronto Maple Leafs,Defensemen,5
Christian Dvorak,Arizona Coyotes,Center,18
Paul Stastny,Vegas Golden Knights,Center,17
Anthony Mantha,Detroit Red Wings,Right Wing,16
Phil Kessel,Arizona Coyotes,Right Wing,14
Dylan Strome,Chicago Blackhawks,Center,12
Vincent Trocheck,Carolina Hurricanes,Center,11
Ryan Ellis,Nashville Predators,Defensemen,8
Zach Hyman,Toronto Maple Leafs,Left Wing,21
Tyler Ennis,Edmonton Oilers,Center,16
Charlie Coyle,Boston Bruins,Center,16
Mats Zuccarello,Minnesota Wild,Right Wing,15
Chris Tierney,Ottawa Senators,Center,11
Oliver Bjorkstrand,Columbus Blue Jackets,Right Wing,21
Nazem Kadri,Colorado Avalanche,Center,19
Jake Virtanen,Vancouver Canucks,Right Wing,18
Martin Necas,Carolina Hurricanes,Center,16
Tomas Hertl,San Jose Sharks,Center,16
Shea Weber,Montreal Canadiens,Defensemen,15
Nico Hischier,New Jersey Devils,Center,14
Ryan Johansen,Nashville Predators,Center,14
Ivan Provorov,Philadelphia Flyers,Defensemen,13
Kasperi Kapanen,Toronto Maple Leafs,Right Wing,13
Jaccob Slavin,Carolina Hurricanes,Defensemen,6
Jake DeBrusk,Boston Bruins,Left Wing,19
Nick Bonino,Nashville Predators,Center,18
Carl Soderberg,Arizona Coyotes,Center,17
Dustin Brown,Los Angeles Kings,Right Wing,17
Jared McCann,Pittsburgh Penguins,Center,14
Ryan Pulock,New York Islanders,Defensemen,10
Miro Heiskanen,Dallas Stars,Defensemen,8
Drew Doughty,Los Angeles Kings,Defensemen,7
Frank Vatrano,Florida Panthers,Center,16
Calle Jarnkrok,Nashville Predators,Center,15
Zack Kassian,Edmonton Oilers,Right Wing,15
Alexander Radulov,Dallas Stars,Right Wing,15
Mikhail Sergachev,Tampa Bay Lightning,Defensemen,10
Kevin Shattenkirk,Tampa Bay Lightning,Defensemen,8
Oscar Klefbom,Edmonton Oilers,Defensemen,5
Samuel Girard,Colorado Avalanche,Defensemen,4
